Country Name,Country Code,Region,Year,Fertility Rate,Life Expectancy
Panama,PAN,The Americas,2013,2.465,77.41921951
Peru,PER,The Americas,2013,2.48,74.28385366
Philippines,PHL,Asia,2013,3.011,68.13156098
Papua New Guinea,PNG,Oceania,2013,3.812,62.44917073
Poland,POL,Europe,2013,1.3,76.84878049
Puerto Rico,PRI,The Americas,2013,1.636,78.71119512
Portugal,PRT,Europe,2013,1.28,80.37317073
Paraguay,PRY,The Americas,2013,2.581,72.79917073
French Polynesia,PYF,Oceania,2013,2.059,76.33407317
Qatar,QAT,Middle East,2013,2.043,78.4184878
Romania,ROU,Europe,2013,1.53,74.46341463
Russian Federation,RUS,Europe,2013,1.7,71.07317073
Rwanda,RWA,Africa,2013,4.012,63.39482927
Saudi Arabia,SAU,Middle East,2013,2.818,74.17763415
Sudan,SDN,Africa,2013,4.421,63.16704878
Senegal,SEN,Africa,2013,5.134,65.8787561
Singapore,SGP,Asia,2013,1.19,82.34634146
Solomon Islands,SLB,Oceania,2013,4.031,67.71892683
Sierra Leone,SLE,Africa,2013,4.746,50.36312195
El Salvador,SLV,The Americas,2013,1.958,72.49814634
Somalia,SOM,Africa,2013,6.565,55.02302439
South Sudan,SSD,Africa,2013,5.108,55.22090244
Sao Tome and Principe,STP,Africa,2013,4.634,66.2595122
Suriname,SUR,The Americas,2013,2.386,70.99
Slovak Republic,SVK,Europe,2013,1.34,76.26097561
Slovenia,SVN,Europe,2013,1.58,80.27804878
Sweden,SWE,Europe,2013,1.91,81.70487805
Swaziland,SWZ,Africa,2013,3.334,48.93792683
Syrian Arab Republic,SYR,Middle East,2013,2.964,74.71578049
Chad,TCD,Africa,2013,6.264,51.1914878
Togo,TGO,Africa,2013,4.655,59.13236585
Thailand,THA,Asia,2013,1.524,74.24692683
Tajikistan,TJK,Asia,2013,3.514,69.40017073
Turkmenistan,TKM,Asia,2013,2.326,65.45656098
Timor-Leste,TLS,Asia,2013,5.2,67.52236585
Tonga,TON,Oceania,2013,3.768,72.64034146
Trinidad and Tobago,TTO,The Americas,2013,1.789,70.30529268
Tunisia,TUN,Africa,2013,2.25,73.64634146
Turkey,TUR,Europe,2013,2.041,75.17595122
Tanzania,TZA,Africa,2013,5.215,64.29182927
Uganda,UGA,Africa,2013,5.869,57.76768293
Ukraine,UKR,Europe,2013,1.506,71.1595122
Uruguay,URY,The Americas,2013,2.033,76.83619512
United States,USA,The Americas,2013,1.8695,78.84146341
Uzbekistan,UZB,Asia,2013,2.2,68.22758537
St. Vincent and the Grenadines,VCT,The Americas,2013,1.997,72.81087805
"Venezuela, RB",VEN,The Americas,2013,2.391,74.07441463
Virgin Islands (U.S.),VIR,The Americas,2013,1.77,79.19090244
Vietnam,VNM,Asia,2013,1.743,75.59646341
Vanuatu,VUT,Oceania,2013,3.383,71.22839024
Samoa,WSM,Oceania,2013,4.147,71.99182927
"Yemen, Rep.",YEM,Middle East,2013,4.284,63.08936585
South Africa,ZAF,Africa,2013,2.387,57.82139024
"Congo, Dem. Rep.",COD,Africa,2013,6.103,49.49670732
Zambia,ZMB,Africa,2013,5.429,58.09280488
Zimbabwe,ZWE,Africa,2013,3.977,59.77387805
